state,pect_urban,full_imm_percent,percent_elderly,more_than_4_prop,cold_chain_points_per_10000,storage_cap_lit_per_10000,density,dust_pop,confirmed,active,recovered,deceased,district,morbidity_percent
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.5547012658329885,10377718.872,0,0,0,0.0,Mumbai suburban,0.46899224806201545
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.00697372942119928,3732501.392,20917,457,19813,0.058469945355191254,Nanded,0.3643410852713178
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.007123543654164083,1830548.824,7724,512,7046,0.015027322404371584,Nandurbar,0.3662790697674418
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.010298256585828159,5174326.152,121096,4376,113572,0.28524590163934427,Nagpur,0.39728682170542634
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.008603819377050603,6793265.824,112126,2503,107792,0.16666666666666666,Nashik,0.33720930232558133
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.004792114035345879,1846265.832,16648,350,15764,0.04845173041894353,Osmanabad,0.20155038759689922
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.012253175466320876,3325008.992,46249,249,45082,0.08205828779599271,Palghar,0.38477297895902535
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.006165681729918742,2041611.984,7462,210,6965,0.025136612021857924,Parbhani,0.20155038759689922
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.013198575024032119,10482778.408,366319,17213,341396,0.6989981785063752,Pune,0.3217054263565891
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.00806295183617699,2930558.128,65556,1336,62748,0.13342440801457195,Raigad,0.3217054263565891
