state,District_Key,confirmed,active,recovered,deceased,migrated_other,density,urbans,full_immunes,elderlies,hh_more_than_4,cold_chain_points,storage_cap_lits,temp,covid_index,dist_index
Uttar Pradesh,UP_Mirzapur,0.008688963368209538,159,3120,0.003825136612021858,0,613.4278407784168,61.7708473326564,83.77240501920002,21.359189359200002,3135.2556337838814,0.18179484012777405,0.18179484012777405,0.44022934036262046,0.005765108142980066,0.2502231576381714
Uttar Pradesh,UP_Moradabad,0.029667014643820527,225,10939,0.015938069216757743,0,1427.5765077998926,118.19477982279686,160.29342957120002,40.86951681120001,5999.122002125418,0.34785342972724875,0.34785342972724875,0.5372319867067431,0.021744767941915984,0.3638496969311818
Uttar Pradesh,UP_Muzaffarnagar,0.020643155969639646,462,7329,0.009016393442622951,0,1148.235718562874,102.48216304421246,138.98428855199998,35.436391451999995,5201.608734883899,0.3016103752995073,0.3016103752995073,0.4367739824222403,0.013642830209296814,0.3341400304507471
Uttar Pradesh,UP_Pilibhit,0.010706184312771283,90,3925,0.007012750455373406,0,647.4404687053444,50.44676276372007,68.41490484,17.44353534,2560.4877379996037,0.1484674659262092,0.1484674659262092,0.6550186556201893,0.008664860005487593,0.2322532366525207
Uttar Pradesh,UP_Pratapgarh,0.01346907058703484,155,4927,0.006010928961748634,0,949.47867204735,78.59000071905758,106.58220916479999,27.1749341248,3988.932532956212,0.2312944897683065,0.2312944897683065,0.44627644668628286,0.008997867885196159,0.2932494111643532
Uttar Pradesh,UP_Raebareli,0.012945796671454622,124,4722,0.009289617486338797,0,821.2741262746797,84.29161346181898,114.31462392959999,29.1464438496,4278.324928322401,0.2480746348011043,0.2480746348011043,0.7175778920444756,0.01096638040256362,0.295259433021958
Uttar Pradesh,UP_Rampur,0.013963564437258148,100,5187,0.004553734061930784,0,1097.1536020278834,57.830268558880995,78.42826979519998,19.9966118352,2935.246692117365,0.17019751033348648,0.17019751033348648,0.32611544726934666,0.007974105530020767,0.26477004869414605
Uttar Pradesh,UP_Saharanpur,0.02466189964129573,444,8851,0.011930783242258653,0,1044.2454692328542,85.78290963218912,116.33709038719999,29.662105827199998,4354.017506968986,0.2524635975656198,0.2524635975656198,0.4837738947846847,0.017153302275732092,0.30768511516042857
Uttar Pradesh,UP_Sambhal,0.008204934996297836,184,2909,0.003916211293260473,0,1005.0249653485527,54.89893457149931,74.452852448,18.983012048000003,2786.4632158450263,0.161570440824025,0.161570440824025,0.4772994904929185,0.005668532357936193,0.2560071206025776
Uttar Pradesh,UP_Sant Kabir Nagar,0.008364533540549803,73,3080,0.004007285974499089,0,1321.9844660194176,42.45033582733637,57.57030832,14.67852232,2154.619214496544,0.12493356248686345,0.12493356248686345,0.47908062715899985,0.00578956629984254,0.23961592644772475
